StudyTitle,Abstract_manual
"Highlands and Drylands: Mountains, a source of resilience in arid regions","This publication has three main objectives: (i) to provide an overall vision of the ecological, social and cultural features of dryland mountain socio-ecosystems, highlighting those processes and elements which have determined their resilience to past and present disturbances, describing current and future impacts, and offering a perspective on conservation and sustainable development based on successful examples from all regions of the world; (ii) to demonstrate the importance of investing human and financial resources in dryland mountains in the framework of the global effort to limit the impact of global change on the livelihoods of human societies and on the natural and cultural wealth of our planet; and (iii) to raise the awareness of development experts, donors and policy and decision makers about the relevance, extent, main challenges, solutions and good practices developed to address desertification and development issues in dryland mountain ecosystems worldwide."
"Making the case for ecosystem-based adaptation : the global mountain EbA programme in Nepal, Peru and Uganda","This publication is a legacy document of the Mountain EbA Programme, delivered through a partnership between the German Government, UNEP,  UNDP and IUCN, together with the Governments of Nepal, Peru and Uganda. The objective of the Programme was to strengthen the capacities of these countries to promote EbA options to build ecosystem resilience and to reduce the vulnerability of communities, with particular emphasis on mountain ecosystems. The publication focuses on showcasing and capturing lessons learned on the process of making the case to government and other stakeholders for EbA to be included in broader adaptation strategies, and for the policy and finance shifts needed to bring this about."
UNDP Community Water Initiative: Fostering Water Security,"This report aims to provide in-depth information on the UNDP Community Water Initiative, which has funded successful projects in some of the most vulnerable communities in Africa, South Asia, and Central America. This report also highlights some country case studies and activities that provide current water security and community development benefits."
Vulnerability to climate change in agricultural systems in Latin America and the Caribbean - building response strategies: final report,"This report describes a bottom-up approach to identifying and prioritizing agricultural adaptations to climate change among rural stakeholders and local decision-makers in Latin America. The study uses a formal priority-setting methodology to generate local response options to climate change in agriculture. The response options address different sources of uncertainty in local agroecosystems stemming from climate changes – principally in temperature, precipitation and the frequency of extreme events – and their expected effects. The application is to three diverse agroecosystems in Mexico, Peru and Uruguay. In each case, local country project teams involved participants in a series of workshops designed to : (i) understand expected climate changes and identify possible response options; (ii) prioritize the response options; and (iii) develop a climate change action plan that addresses agricultural adaptations to climate change. These response options form the basis for a climate change action plan developed in each case. Following a brief background and overview of the study, this report discusses the study objectives, the priority-setting methodology employed, and then provides a short description of each of the three study sites. In the main body of the report, each of the four project steps, centered around a series of three workshops in each country, is outlined and discussed. The concluding section summarizes the results and conclusions of the study, the lessons learned regarding the potential application of this methodology elsewhere, and the possible extensions of this study to other countries and contexts."
"RESILIENT: Zero Carbon, Risk-Informed, Sustainable","This report is comprised of 15 country case studies providing examples of climate action, disaster risk reduction and recovery, and sustainable energy. Each case emphasizes the integrated approach to these work streams and similarly, the linkages and benefits that each extends to the others. This report, chronicling efforts since 2015, looks specifically at the Sendai Framework for Disaster Risk Reduction, the Paris Agreement, and the Sustainable Development Goals of Agenda 2030. It reflects on the work supported by UNDP at country and regional levels, and emphasizes how these actions support progress. The report highlights how action areas are interconnected and how progress on one is progress on another, showcasing initiatives such as the use of reforestation to reduce greenhouse gas emissions and simultaneously provide protection against land degradation and sea-level rise; solar projects that enhance energy access while empowering women and students; disaster recovery processes that strengthen infrastructure and institutions against future threats; and how Nationally Determined Contributions (NDCs) are the crux of each country’s commitments to the Paris Agreement."
"Adapting to climate change : lessons learned, work in progress, and proposed next steps for the World Bank in Latin America","This report presents a brief overview of the work on adaptation to climate change already under-taken by the World Bank in the Latin America region. It also summarizes current initiatives in the portfolio and presents recommendations for further work. The document echoes the conclusion reached in a previous report concerning the priority character of adaptation in Latin America, given the region's reliance on a fragile natural resource base and the irreversible character of many of the anticipated changes. Impacts in the region include coastal-threatening sea level increases, increased sea surface temperatures, catastrophic melting of tropical glaciers and snowcaps, destructive warming of moor-lands and other high altitude ecosystems in the Andes, higher frequency and extension of forest fires, the appearance of tropical disease vectors in the Andes piedmont, changes in agricultural productivity, and impacts on coastal and watershed ecosystems. Known information on these impacts is summarized in the report"
The Oasis as a Megacity: Urumqi's Fast Urbanisation in a Semiarid Environment,"Urumqi represents one of the most dynamic examples of urban development of the last 50 years, changing from a traditional Central Asian city of less than 100,000 inhabitants in 1950 to the most important economic growth pole of northwestern China with a population of approximately 4 million people. Due to its location in a narrow semiarid green belt between the glaciated Tianshan Mountains and the vast semi-desert lowlands of the Junggar Basin, water from the surrounding mountains is indispensable to human activities in this area. However, the sharp increase in water demand during the last 50 years has resulted in the usage of approximately 89 % of surface runoff. In addition, nearly 50 % of Urumqi’s water supply is extracted from groundwater resources. This article describes the hydrological system of Urumqi and the water-related challenges that have to be met in the coming years."
"Climate-resilient, climate-friendly world heritage cities","While the negative impacts of climate change on urban areas are well-known and widely discussed, its implicit impacts on historic downtowns have not been studied as extensively. In recent years, cultural heritage conservation and valorization have increasingly become drivers of local economic development. Many projects supported by the World Bank in this field help leverage cultural heritage for economic development while developing infrastructure and services for residents and enhancing the livability of cities. The World Bank has also been very active in addressing climate change risks and increasing resiliency of urban areas. This paper is an effort to merge these two critical agendas. The paper investigates the impacts of climate change on 237 world heritage cities (WHC) and provides an overview of the geographic distribution of these cities around the globe. It discusses the importance of historic downtowns and provides various options available to the governments of these cities to address risk mitigation and adaptation to climate change. Further, it provides examples of WHC which have taken action to address vulnerability to the adverse impacts of climate change. This report is organized in following five sections: section one presents an overview of WHC, geographic distribution, and the growth of the urban agglomerations to which they belong. Section two presents the natural hazard risks and climate change impacts facing WHC, their location on the coastline or interior, and their rank in terms of level of vulnerability. Section three outlines the characteristics that historic cities have in terms of carbon emissions and potential for climate change mitigation. Section four discusses the sources of financing which WHC may turn to in order to address climate change mitigation and adaptation. Section five presents the climate change adaptation and mitigation action plans being implemented in the WHC of Paris, Tunis, Edinburgh, Mexico City, Hue, and Quito."
Snowmaking and Climate Change: Future Options for Snow Production in Tyrolean Ski Resorts,"Winter tourism is high- ly sensitive to climate change. The suffi- ciently studied altitu- dinally dependent line of natural snow relia- bility is losing its rele- vance for skilift opera- tors in Austria, where 59% of the ski area is covered by artificial snowmaking. But the diffusion of snowmaking facilities cannot be monocausally linked to climate change, as trends in tourism, prestige, and competitive advantage are important factors. Despite the fact that snowmak- ing is limited by climatological factors, skilift operators trust in technical improvements and believe the future will not be as menacing as assumed by recent climate change impact studies. The aim of the present study is to define reasons for the diffusion of snowmaking sys- tems and to determine whether snowmaking can be a viable adaptation strategy despite ongoing warming,using a simple degree-day model. Results obtained withthis method of assessing technical snow reliability show that current snowmaking intensity will not be suf- ficient to guarantee the desired 100-day season at ele- vations below 1500–1600 m. Snowmaking will still be possible climatically even at lower elevations, but the required intensification of capacity will lead to signifi- cantly higher operation costs."
Building resilience to climate change: ecosystem-based adaptation and lessons from the fieldÂ ,"With climate change now a certainty, the question is now how much change there will be and what can be done about it. One of the answers is through adaptation. Many of the lessons that are being learned in adaptation are from success stories from the field. This publication contains eleven case studies covering different ecosystems and regions around the world. Its aim is to summarize some current applications of the Ecosystem-based Adaptation (EbA) concept and its tools used around the world, and also draw lessons from experiences in conservation adaptation."
"Climate Change Adaptation and Mitigation in the Tourism Sector: Frameworks, Tools and Practices","With its close connections to the environment and climate itself, tourism is considered to be a vulnerable and highly climate-sensitive economic sector, similar to agriculture, insurance, energy, and transportation. At the same time, tourism is a contributor to Greenhouse Gas (GHG) emissions, including emissions from transport, accommodation and activities. In 2005, tourism's contribution to GHG emissions was estimated to be approximately 5%. According to the Davos Declaration on climate Change and Tourism the sector has to 'rapidly respond to climate change, within the evolving UN framework and progressively reduce its Greenhouse Gas (GHG) emissions, if it is to grow in a sustainable way'. In response to this challenge this publication is designed to provide a pragmatic platform to strengthen the capacity of professionals to understand and respond effectively to the global challenges of climate change in tourism destinations. It is the result of the ongoing cooperation between UNEP, UNWTO and WMO in the context of the wider UN response to climate change. The publication presents an overview of the current science and policy of climate change, followed by self-guidance material on mitigation and adaptation, exploring tools, methods and techniques associated with the management of climate change in tourism. It also identifies examples of good practice from which stakeholders might learn in order to develop their own capacities for implementing climate change strategies."
